ticker,index_ticker,comment
NI,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NKE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NLOK,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NLSN,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NOC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NOV,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NOW,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NRG,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NSC,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NTAP,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NTRS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NUE,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NVDA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NVR,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NWL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NWS,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
NWSA,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
O,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
ODFL,S&P500,Import all stocks in S&P500 on 2020-01-29 16:15:07.716792
